ranking,World Rank,University,Rank
191,9774,Blackpool and The Fylde College,2
192,9862,Blackburn College UK,2
193,9952,Nottingham College,2
194,10183,Academy of Contemporary Music,2
195,10433,Loughborough College,2
196,10478,Belfast Metropolitan College,2
197,10551,Gateshead College,2
198,10623,City College Norwich,2
199,10673,Leeds College of Business Management and Technology,2
200,10700,The Manchester College,2
201,10716,London Academy of Music and Dramatic Art,2
202,10842,South Devon College,2
203,10853,Fife College (Adam Smith College),2
204,10861,New College of the Humanities,2
205,10995,Guildford College,2
206,11183,South Gloucestershire and Stroud College (Filton College),2
207,11190,Grimsby Institute of Further & Higher Education,2
208,11448,European School of Economics,2
209,11465,Croydon College,2
210,11738,Saint Mary's University College Belfast,2
211,11774,University College of Estate Management,2
212,11816,Northern School of Contemporary Dance,2
213,11988,National Centre for Circus Arts (The Circus Space in London),2
214,12016,West Suffolk College,2
215,12057,Stranmillis University College,2
216,12120,City and Guilds of London Art School,2
217,12145,Arts Educational Schools,2
218,12162,South Eastern Regional College,2
219,12177,Wirral Metropolitan College,2
220,12210,Carmarthenshire College,2
221,12264,Grŵp Llandrillo Menai,1
222,12292,Gower College Swansea,1
223,12345,Farnborough College of Technology,1
224,12400,British School of Osteopathy,1
225,12400,Hereford College of Arts,1
226,12410,South West College,1
227,12441,Bristol Old Vic Theatre School in Bristol,1
228,12572,South Tyneside College,1
229,12631,European School of Osteopathy,1
230,12647,Southern Regional College,1
231,12666,Suffolk New College,1
232,12692,London South East Colleges,1
233,12879,Stockport College,1
234,12926,Royal Drawing School,1
235,12957,Ruskin College,1
236,13017,Salford City College,1
237,13223,Halifax College,1
238,13241,Ayrshire College (Ayr College),1
239,13323,Darlington College of Technology,1
240,13333,Northern Regional College,1
241,13447,University Centre Somerset (Somerset College of Arts and Technology),1
242,13692,Guildford School of Acting University of Surrey,1
243,13738,British College of Osteopathic Medicine,1
244,13874,The Prince's School of Traditional Arts,1
245,13972,Conservatoire for Dance and Drama,1
246,14337,London Contemporary Dance School,1
247,14402,University of London Institute in Paris,1
248,14506,Central School of Ballet in London,1
249,14524,Newcastle under Lyme College,1
250,14838,East Coast College (Great Yarmouth & Lowestoft),1
251,14896,Coleg y Cymoedd,1
252,14946,Selby College,1
253,15038,Rambert School of Ballet and Contemporary Dance,1
254,15048,Loreto College (Futureworks Media School),1
255,15363,Lewisham Southwark College,1
256,15556,Redcar & Cleveland College,1
257,15598,Tyne Metropolitan College TyneMet College,1
258,15938,English National Ballet School,1
259,16280,British Institute of Technology & E-commerce,1
260,16510,London School of Jewish Studies,1
261,17014,Medway School of Pharmacy,1
262,17587,Manchester Academic Health Science Centre,1
263,18226,Andover College (Cricklade College),1
264,18588,London College of Science & Technology,1
265,18653,Bristol Baptist College,1
266,18872,Fashion Design University of Westminster,1
267,20026,Rose Bruford College,1
268,20360,Bloomsbury Institute,1
269,20397,American University in London,1
270,20689,Futureworks Manchester School of Media,1
271,21045,London School of Theology,1
272,21362,London College of Business & Computing,1
273,21525,Westminster Kingsway College,1
274,21728,International Colleges of Islamic Science Greater London,1
275,23321,Interior Design Institute,1
276,23988,Azad University Oxford,1
