ranking,World Rank,University,Rank
186,11350,Luther College University of Regina,3
187,11401,Briercrest College and Seminary,3
188,11448,Brescia University College,3
189,11465,National Circus School Montreal,3
190,11501,Ashton College,3
191,11543,Herzing College Montreal,3
192,11678,Vancouver School of Theology,3
193,11927,Nicola Valley Institute of Technology,3
194,11935,Collège Jean de Brébeuf,3
195,11955,Université de Sudbury / University of Sudbury,3
196,11955,Cégep de Jonquière,3
197,11973,University College of the North,3
198,12079,Manitoba Institute of Trades and Technology,3
199,12102,Cégep de Saint Jérôme,3
200,12130,Collège Communautaire du Nouveau Brunswick,3
201,12192,Alexander College,3
202,12210,Huron University College at Western,3
203,12251,Balsillie School of International Affairs,3
204,12264,Cégep André Laurendeau,3
205,12329,Aurora College,3
206,12329,Cégep de Saint Hyacinthe,3
207,12357,Saint Thomas More College,3
208,12357,Providence University College,3
209,12389,Lasalle College Vancouver,3
210,12458,Gaelic College,3
211,12500,Cégep de Saint Laurent,3
212,12518,Atlantic School of Theology,3
213,12547,Northern Lakes College,3
214,12595,Cégep de l'Outaouais,3
215,12602,Kingswood University,3
216,12613,Collège François Xavier Garneau,3
217,12658,Portage College,3
218,12666,Cégep de l'Abitibi Témiscamingue,3
219,12793,Nunavut Arctic College,3
220,12891,Heritage College Hull Gatineau,2
221,12957,Cégep Régional de Lanaudière,2
222,12964,Crandall University (Atlantic Baptist University),2
223,12982,Cégep de Matane,2
224,13000,Cégep de la Gaspésie et des Îles,2
225,13025,Cégep de Lévis Lauzon,2
226,13048,Saint Mary's University College,2
227,13073,Burman University (Canadian University College),2
228,13172,Cégep de Chicoutimi,2
229,13182,Cégep de Saint Jean sur Richelieu,2
230,13279,Stenberg College,2
231,13344,Institut de Technologie Agroalimentaire,2
232,13447,Parkland College Melville,2
233,13504,Coast Mountain College,2
234,13598,(3) Champlain Regional College Saint Lawrence Campus,2
235,13649,Taylor University College and Seminary,2
236,13661,Collège Laflèche,2
237,13738,Coquitlam College,2
238,13778,Séminaire de Sherbrooke,2
239,13791,Collège Mérici,2
240,13821,Université de Hearst,2
241,13849,Regis College University of Toronto,2
242,14006,Canadian College,2
243,14078,New Brunswick College of Craft and Design,2
244,14091,Bethany College Hepburn,2
245,14153,Trebas Institute Montreal,2
246,14221,King's University College,2
247,14263,Musitechnic Services Éducatifs Montreal,2
248,14301,Cégep de Granby,2
249,14347,Booth University College,2
250,14431,Brighton College,2
251,14472,Saint Stephen's University,2
252,14493,Collège Gérald Godin,2
253,14582,Cégep de La Pocatière,2
254,14594,Collège Stanislas,2
255,14594,Cégep Beauce Appalaches,2
256,14651,Newman Theological College,2
257,14748,Robertson College,2
258,14807,Cégep de Sorel Tracy,2
259,14838,Collège de Valleyfield,2
260,14859,Saskatchewan Indian Institute of Technologies,2
261,14910,École Nationale de l'Humour Montreal,2
262,14918,Six Nations Polytechnic,2
263,14932,Academy of Applied Pharmaceutical Sciences,2
264,14946,Campus Notre Dame de Foy,2
265,14969,Dominican University College,2
266,15011,Vancouver College of Art and Design,2
267,15022,Cégep de Saint Félicien,2
268,15022,Educacentre College,2
269,15217,Cégep de Baie Comeau,2
270,15250,Cégep de Rivière du Loup,2
271,15258,Collège International Marie de France,2
272,15258,Acsenda School of Management,2
273,15269,Great Plains College,2
274,15340,Think Tank Training Centre,2
275,15509,Oulton College,2
276,15606,Campion College at University of Regina,2
277,15725,Cégep de Drummondville,2
278,15827,Collège André Grasset,2
279,15890,Emily Carr University of Art + Design,2
280,15909,Conservatoire de Musique et dArt Dramatique du Québec,2
281,15938,Evergreen College,2
282,15974,College Universitaire Dominicain / Dominican University College,2
283,16115,(3) St Peter's College University of Saskatchewan,2
284,16146,Southeast College,2
285,16250,Academy of Learning Career College,2
286,16338,Institut Teccart / Teccart Institute,2
287,16397,Canada College Montreal,2
288,16481,Recording Arts Canada / Institut d'enregistrement du Canada,2
289,16510,Cornerstone International Community College,2
290,16577,Cégep de Thetford,2
291,16630,Assumption University,2
